,latitude,longitude,t2m,tp,swvl1
22914,1,3330,242.96739,2.6002526e-06,0.2023109
22915,1,3330,245.25508,2.0816922e-05,0.2023109
22916,1,3330,243.85666,0.0,0.2023109
22917,1,3331,241.75192,2.6024878e-05,0.20227584
22918,1,3331,242.6582,7.0266426e-05,0.20227584
22919,1,3331,241.83984,2.0816922e-05,0.20227584
22920,1,3331,242.5107,0.0,0.20227584
22921,1,3331,242.96739,2.6002526e-06,0.20227584
22922,1,3331,245.25508,2.0816922e-05,0.20227584
22923,1,3331,243.85666,0.0,0.20227584
22924,1,3332,241.75192,2.6024878e-05,0.20224077
22925,1,3332,242.66104,7.0266426e-05,0.20224077
22926,1,3332,241.83984,2.0816922e-05,0.20224077
22927,1,3332,242.5107,0.0,0.20224077
22928,1,3332,242.96739,2.6002526e-06,0.20224077
22929,1,3332,245.25508,2.0816922e-05,0.20224077
22930,1,3332,243.85666,0.0,0.20224077
22931,1,3333,241.75192,2.6024878e-05,0.20219402
22932,1,3333,242.66104,7.0266426e-05,0.20219402
22933,1,3333,241.83984,2.0816922e-05,0.20219402
22934,1,3333,242.5107,0.0,0.20219402
22935,1,3333,242.96881,2.6002526e-06,0.20219402
22936,1,3333,245.25508,2.0816922e-05,0.20219402
22937,1,3333,243.85666,0.0,0.20219402
22938,1,3334,241.75192,2.6024878e-05,0.20215894
22939,1,3334,242.66104,7.0266426e-05,0.20215894
22940,1,3334,241.83984,2.0816922e-05,0.20215894
22941,1,3334,242.5107,0.0,0.20215894
22942,1,3334,242.96881,2.6002526e-06,0.20215894
22943,1,3334,245.25508,2.0816922e-05,0.20215894
22944,1,3334,243.85948,0.0,0.20215894
22945,1,3335,241.75192,2.6024878e-05,0.2021122
22946,1,3335,242.66104,7.0266426e-05,0.2021122
22947,1,3335,241.83984,2.0816922e-05,0.2021122
22948,1,3335,242.5107,0.0,0.2021122
22949,1,3335,242.96881,2.6002526e-06,0.2021122
22950,1,3335,245.25508,2.0816922e-05,0.2021122
22951,1,3335,243.85948,0.0,0.2021122
22952,1,3336,241.75192,2.6024878e-05,0.20208882
22953,1,3336,242.66104,7.0266426e-05,0.20208882
22954,1,3336,241.83984,2.0816922e-05,0.20208882
22955,1,3336,242.5107,0.0,0.20208882
22956,1,3336,242.96881,2.6002526e-06,0.20208882
22957,1,3336,245.25508,2.0816922e-05,0.20208882
22958,1,3336,243.85948,0.0,0.20208882
22959,1,3337,241.75192,2.6024878e-05,0.20204206
22960,1,3337,242.66104,7.0266426e-05,0.20204206
22961,1,3337,241.83984,2.0816922e-05,0.20204206
